time,wind_speed_10m,wind_speed_100m,temperature_2m,surface_pressure,normalized_power
2023-03-01 00:00:00,5.03,6.91,-0.2,1008.6,0.0583
2023-03-01 01:00:00,11.74,18.12,6.8,1020.2,1.0
2023-03-01 02:00:00,7.73,12.75,0.6,1015.6,1.0
2023-03-01 03:00:00,6.44,10.46,1.5,1012.9,0.5346
2023-03-01 04:00:00,2.91,4.6,4.7,1016.2,0.0
2023-03-01 05:00:00,2.98,4.62,1.1,1014.3,0.053
2023-03-01 06:00:00,1.89,4.27,-3.8,1011.4,0.0
2023-03-01 07:00:00,10.55,16.61,2.4,1012.1,1.0
2023-03-01 08:00:00,7.65,12.97,-3.3,1009.3,0.979
2023-03-01 09:00:00,9.28,15.04,-5.3,1012.4,0.988
2023-03-01 10:00:00,1.4,2.23,-5.0,1018.0,0.0
2023-03-01 11:00:00,16.79,27.93,2.4,1017.9,0.0035
2023-03-01 12:00:00,12.64,21.38,0.3,1013.6,1.0
2023-03-01 13:00:00,4.98,7.94,1.8,1013.6,0.1925
2023-03-01 14:00:00,4.67,8.05,0.3,1010.2,0.164
2023-03-01 15:00:00,4.71,7.86,-1.2,1015.9,0.1716
2023-03-01 16:00:00,6.18,10.03,-0.8,1008.8,0.4197
2023-03-01 17:00:00,8.56,14.01,0.2,1017.6,0.9877
2023-03-01 18:00:00,7.31,11.44,-4.0,1016.0,0.7834
2023-03-01 19:00:00,5.56,8.83,-6.4,1013.2,0.2867
2023-03-01 20:00:00,8.61,13.61,-3.6,1016.0,0.9793
2023-03-01 21:00:00,3.41,6.07,0.0,1012.9,0.0925
2023-03-01 22:00:00,4.8,7.73,-4.2,1015.0,0.1788
2023-03-01 23:00:00,5.2,7.66,5.5,1015.2,0.0604
2023-03-02 00:00:00,5.69,8.79,-0.2,1019.2,0.211
2023-03-02 01:00:00,8.52,11.89,-1.3,1016.5,0.8493
2023-03-02 02:00:00,3.31,5.07,-3.8,1018.7,0.0
2023-03-02 03:00:00,5.75,9.34,1.5,1016.1,0.2753
2023-03-02 04:00:00,6.43,10.35,-5.9,1014.3,0.4935
2023-03-02 05:00:00,1.63,3.83,-0.6,1016.6,0.008
2023-03-02 06:00:00,6.98,11.66,-3.2,1015.9,0.8717
2023-03-02 07:00:00,3.4,5.83,-1.3,1013.1,0.0657
2023-03-02 08:00:00,2.2,2.58,-0.0,1008.9,0.0831
2023-03-02 09:00:00,14.1,22.65,-5.7,1012.5,0.9546
2023-03-02 10:00:00,15.74,25.23,-7.6,1012.4,0.0046
2023-03-02 11:00:00,11.72,18.54,-5.0,1016.8,0.995
2023-03-02 12:00:00,5.91,9.11,1.4,1014.3,0.2751
2023-03-02 13:00:00,3.33,4.32,-0.4,1011.3,0.0
2023-03-02 14:00:00,10.71,16.61,-3.1,1013.9,0.9844
2023-03-02 15:00:00,7.77,13.12,5.2,1013.3,0.9861
2023-03-02 16:00:00,3.79,6.06,2.8,1010.9,0.0606
2023-03-02 17:00:00,8.21,13.02,1.9,1020.4,1.0
2023-03-02 18:00:00,1.94,3.14,-4.2,1013.8,0.0
2023-03-02 19:00:00,14.0,23.41,1.9,1011.4,1.0
2023-03-02 20:00:00,4.97,8.06,-0.5,1007.9,0.1047
2023-03-02 21:00:00,8.73,14.48,-4.2,1014.9,1.0
2023-03-02 22:00:00,4.98,7.57,-2.1,1016.6,0.1358
2023-03-02 23:00:00,6.52,10.2,-5.3,1011.9,0.4322
2023-03-03 00:00:00,6.44,10.65,-4.0,1015.4,0.5678
2023-03-03 01:00:00,3.25,6.41,-5.5,1010.4,0.0127
2023-03-03 02:00:00,12.26,20.75,1.8,1013.9,1.0
2023-03-03 03:00:00,8.11,13.5,-1.8,1019.1,0.9442
2023-03-03 04:00:00,11.05,18.01,-4.8,1013.9,1.0
2023-03-03 05:00:00,10.2,17.38,0.3,1012.2,0.9264
2023-03-03 06:00:00,6.88,11.64,-1.5,1020.2,0.8196
2023-03-03 07:00:00,11.78,17.72,2.2,1015.6,0.9577
2023-03-03 08:00:00,2.56,3.52,-1.0,1012.8,0.0072
2023-03-03 09:00:00,4.06,6.78,-6.5,1011.3,0.1023
2023-03-03 10:00:00,2.04,2.24,-3.2,1010.2,0.0
2023-03-03 11:00:00,5.91,9.05,-5.6,1016.5,0.1876
2023-03-03 12:00:00,6.82,10.65,0.5,1017.9,0.5019
2023-03-03 13:00:00,5.68,9.07,2.3,1014.8,0.2547
2023-03-03 14:00:00,13.1,21.08,-6.9,1014.0,0.9572
2023-03-03 15:00:00,6.81,10.87,-1.9,1017.1,0.5413
2023-03-03 16:00:00,5.9,10.06,2.5,1009.1,0.3877
2023-03-03 17:00:00,8.75,14.03,-7.0,1015.1,1.0
2023-03-03 18:00:00,3.9,6.09,-3.0,1014.9,0.0876
2023-03-03 19:00:00,11.6,18.0,-1.5,1016.5,0.9491
2023-03-03 20:00:00,2.61,4.84,2.2,1016.7,0.0254
2023-03-03 21:00:00,16.85,26.92,0.4,1013.2,0.015
2023-03-03 22:00:00,9.58,14.88,1.1,1022.2,0.9658
2023-03-03 23:00:00,3.68,6.1,0.6,1010.5,0.1163
2023-03-04 00:00:00,0.61,0.52,-2.6,1013.1,0.0
2023-03-04 01:00:00,8.88,14.09,4.5,1018.5,1.0
2023-03-04 02:00:00,7.44,12.23,-3.6,1012.5,0.9149
2023-03-04 03:00:00,7.6,12.13,-11.0,1015.5,0.9987
2023-03-04 04:00:00,8.13,14.56,-7.6,1012.9,0.9352
2023-03-04 05:00:00,2.04,3.26,-1.7,1013.5,0.0059
2023-03-04 06:00:00,4.88,8.29,-2.5,1009.9,0.1632
2023-03-04 07:00:00,2.78,3.34,-3.2,1018.1,0.0
2023-03-04 08:00:00,11.01,17.34,-0.8,1018.2,0.9752
2023-03-04 09:00:00,8.27,12.77,2.9,1018.2,1.0
2023-03-04 10:00:00,5.7,8.67,0.3,1013.3,0.2573
2023-03-04 11:00:00,2.52,4.33,1.0,1016.4,0.0322
2023-03-04 12:00:00,5.97,10.3,-5.1,1023.0,0.4903
2023-03-04 13:00:00,6.3,10.42,-3.1,1016.2,0.4765
2023-03-04 14:00:00,11.35,18.27,1.2,1010.4,0.9792
2023-03-04 15:00:00,10.11,16.02,-0.9,1011.6,0.9759
2023-03-04 16:00:00,14.48,24.15,0.4,1011.4,1.0
2023-03-04 17:00:00,7.93,14.11,0.9,1020.3,1.0
2023-03-04 18:00:00,3.58,5.89,-0.7,1016.6,0.0302
2023-03-04 19:00:00,10.23,17.16,4.2,1008.7,1.0
2023-03-04 20:00:00,10.44,17.13,-3.2,1020.3,0.9904
2023-03-04 21:00:00,7.63,12.83,-4.2,1017.3,1.0
2023-03-04 22:00:00,9.55,14.78,-7.5,1015.7,0.9559
2023-03-04 23:00:00,6.27,9.88,1.3,1021.1,0.4695
2023-03-05 00:00:00,6.22,10.32,-3.1,1014.4,0.5223
2023-03-05 01:00:00,5.23,9.21,3.3,1020.7,0.2663
2023-03-05 02:00:00,1.18,1.42,-0.2,1006.5,0.0313
2023-03-05 03:00:00,2.38,2.64,-2.3,1012.4,0.0296
2023-03-05 04:00:00,1.31,1.82,-4.8,1018.5,0.0
2023-03-05 05:00:00,6.95,11.87,1.9,1022.0,0.897
2023-03-05 06:00:00,4.51,6.37,-1.3,1010.4,0.01
2023-03-05 07:00:00,6.39,9.66,-0.1,1013.6,0.3849
2023-03-05 08:00:00,11.98,19.52,1.0,1016.0,1.0
2023-03-05 09:00:00,4.61,7.41,-0.2,1011.5,0.1179
2023-03-05 10:00:00,6.49,10.88,-4.1,1014.2,0.718
2023-03-05 11:00:00,10.82,16.81,0.7,1021.6,1.0
2023-03-05 12:00:00,5.02,7.95,1.8,1011.2,0.1439
2023-03-05 13:00:00,2.95,5.5,0.2,1014.3,0.0137
2023-03-05 14:00:00,5.98,8.99,1.1,1016.4,0.278
2023-03-05 15:00:00,4.38,7.99,1.5,1017.2,0.1515
2023-03-05 16:00:00,15.87,25.1,-2.5,1011.8,0.0
2023-03-05 17:00:00,12.45,20.7,-2.6,1014.6,0.9868
2023-03-05 18:00:00,9.55,15.27,6.7,1014.1,0.9719
2023-03-05 19:00:00,12.94,20.31,3.6,1016.5,1.0
2023-03-05 20:00:00,11.09,17.68,-1.3,1010.6,0.9741
2023-03-05 21:00:00,3.94,6.72,1.3,1020.4,0.0785
2023-03-05 22:00:00,11.61,18.83,-4.4,1016.3,1.0
2023-03-05 23:00:00,6.66,11.48,-3.2,1019.6,0.7521
2023-03-06 00:00:00,9.09,15.6,-5.2,1013.3,0.9774
2023-03-06 01:00:00,10.18,15.8,0.1,1010.7,1.0
2023-03-06 02:00:00,4.26,6.16,0.2,1011.7,0.0411
2023-03-06 03:00:00,2.4,3.11,2.9,1018.3,0.0
2023-03-06 04:00:00,3.54,5.2,-1.6,1013.8,0.0041
2023-03-06 05:00:00,5.22,9.13,2.9,1009.1,0.2693
2023-03-06 06:00:00,9.23,15.31,1.4,1016.3,1.0
2023-03-06 07:00:00,10.38,16.5,7.7,1014.3,1.0
2023-03-06 08:00:00,0.74,1.2,5.0,1014.4,0.0078
2023-03-06 09:00:00,7.11,12.38,4.4,1008.7,0.9975
2023-03-06 10:00:00,6.55,11.76,2.1,1009.5,0.8056
2023-03-06 11:00:00,4.75,7.87,-4.0,1013.3,0.1256
2023-03-06 12:00:00,3.57,4.2,0.2,1011.8,0.0464
2023-03-06 13:00:00,6.42,10.59,7.0,1013.3,0.4961
2023-03-06 14:00:00,16.43,27.21,0.9,1018.9,0.0585
2023-03-06 15:00:00,6.4,10.51,-3.7,1011.3,0.5872
2023-03-06 16:00:00,8.58,14.35,0.3,1011.9,0.9768
2023-03-06 17:00:00,10.74,17.63,-4.3,1013.4,1.0
2023-03-06 18:00:00,6.53,9.84,-3.9,1011.7,0.4189
2023-03-06 19:00:00,16.82,26.75,0.6,1014.7,0.0264
2023-03-06 20:00:00,15.46,24.88,1.7,1019.7,1.0
